"";"V1";"V2";"V3";"V4"
"411";0;4;4;4
"412";0;0;0;1
"413";0;0;0;1
"414";0;0;0;1
"415";0;0;0;1
"416";0;0;0;1
"417";0;0;0;1
"418";0;0;0;1
"419";0;4;4;4
"420";0;4;4;4
"421";0;4;4;4
"422";0;0;0;1
"423";0;0;0;1
"424";0;0;0;1
"425";0;0;0;1
"426";0;0;0;1
"427";0;0;0;1
"428";0;0;0;1
"429";0;4;4;4
"430";0;0;0;1
"431";0;4;4;4
"432";0;4;4;4
"433";0;0;0;2
"434";0;4;4;4
"435";0;4;4;4
"436";0;4;4;4
"437";0;4;4;4
"438";0;4;4;4
"439";0;0;3;3
"440";0;4;4;4
"441";0;4;4;4
"442";0;4;4;4
"443";0;4;4;4
"444";0;4;4;4
"445";0;4;4;4
"446";0;0;0;2
"447";0;0;0;2
"448";0;0;0;2
"449";0;0;0;2
"450";0;0;0;2
"451";0;0;3;3
"452";0;0;0;1
"453";0;0;0;2
"454";0;0;0;1
"455";0;0;0;1
"456";0;4;4;4
"457";0;4;4;4
"458";0;0;0;2
"459";0;0;0;1
"460";0;4;4;4
"461";0;4;4;4
"462";0;4;4;4
"463";0;0;0;1
"464";0;4;4;4
"465";0;0;0;1
"466";0;0;0;1
"467";0;0;0;1
"468";0;0;0;1
"469";0;0;0;1
"470";0;0;0;1
"471";0;0;0;1
"472";0;4;4;4
"473";0;0;0;1
"474";0;4;4;4
"475";0;4;4;4
"476";0;0;0;1
"477";0;4;4;4
"478";0;0;0;1
"479";0;0;0;1
"480";0;0;0;1
"481";0;0;0;1
"482";0;0;0;1
"483";0;0;0;1
"484";0;0;0;1
"485";0;0;0;1
"486";0;0;0;1
"487";0;0;0;1
"488";0;0;0;1
"489";0;0;0;1
"490";0;0;0;1
"491";0;0;0;1
"492";0;0;0;1
"493";0;0;0;1
"494";0;0;0;1
"495";0;0;0;1
"496";0;0;0;1
"497";0;0;0;1
"498";0;0;0;1
"499";0;0;0;1
"500";0;0;3;3
"501";0;0;0;1
"502";0;0;0;1
"503";0;0;0;1
"504";0;0;0;1
"505";0;0;0;1
"506";0;0;0;1
"507";0;0;0;1
"508";0;0;0;1
"509";0;0;0;1
"510";0;0;0;1
