"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"précédemment";-0,47247161034749;-0,318959359219641;2,07582178305271;-0,219481377124014;-0,148168985977025;0,964299681992215;0,0762458636221471;0,0262524732685073;0,897501663109346;2,84163562503947e-05;1,29505333093484e-05;0,000548525829549301;0,00012729664361183;1,03125917986582;0,000135379407144422
"précisément";-1,16817492025966;-1,49827577128465;0,888061148890462;-0,557024838223914;-0,714427954787061;0,423457231630773;0,385323318002011;0,478881126225358;0,135795555772632;0,000173713155385538;0,000285759360990193;0,000100392829486398;0,00012729664361183;1,1342152595825;0,000163760035864106
"progresser";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"pression";0,466827505775917;1,09270137951653;-1,79254420189617;0,217067120531095;0,508088189143384;-0,833503603613887;0,0707690578159675;0,292932929524016;0,636298012660018;2,77414927842701e-05;0,000151991722085629;0,000409031448519314;0,00012729664361183;1,05763297718355;0,000142392436172547
"pratiquer";-0,804306350909967;0,146306915372726;0,310110568287683;-0,919893576596979;0,167332747666136;0,354676696858025;0,896337204133194;0,0224074691784384;0,0812553266883686;8,23493070115977e-05;2,72487548086926e-06;1,22419354899279e-05;0,00012729664361183;0,512018956283534;3,33725223737021e-05
"poursuite";-0,804306350909967;0,146306915372726;0,310110568287683;-0,919893576596979;0,167332747666136;0,354676696858025;0,896337204133194;0,0224074691784384;0,0812553266883686;8,23493070115977e-05;2,72487548086926e-06;1,22419354899279e-05;0,00012729664361183;0,512018956283534;3,33725223737021e-05
"posséder";-0,804306350909967;0,146306915372726;0,310110568287683;-0,919893576596979;0,167332747666136;0,354676696858025;0,896337204133194;0,0224074691784384;0,0812553266883686;8,23493070115977e-05;2,72487548086926e-06;1,22419354899279e-05;0,00012729664361183;0,512018956283534;3,33725223737021e-05
"portant";1,13049698690087;0,162168830331799;1,73887822763388;0,543406459820801;0,0779511940367608;0,835842706957037;0,406786472462828;0,00632407664858535;0,586889450888588;0,000162688094037249;3,34774000057503e-06;0,000384906541843148;0,00012729664361183;1,06828323182387;0,000145274629362589
"populaire";0,223231699564676;0,860357052845372;3,26358241721496;0,0659969025640622;0,254358591085711;0,9648554896941;0,0070146267216508;0,0787199759561513;0,914265397322199;6,34349620535502e-06;9,42267906454925e-05;0,00135583275690006;0,00012729664361183;1,60640052212896;0,000328491870517614
"politiquement";-0,804306350909967;0,146306915372726;0,310110568287683;-0,919893576596979;0,167332747666136;0,354676696858025;0,896337204133194;0,0224074691784384;0,0812553266883686;8,23493070115977e-05;2,72487548086926e-06;1,22419354899279e-05;0,00012729664361183;0,512018956283534;3,33725223737021e-05
"plébiscite";-0,772272522122754;2,25615587662247;-2,03355122708012;-0,246417289013232;0,71989589009385;-0,648867033452427;0,0856433011698595;0,552236501788085;0,362120197042056;7,59203354384317e-05;0,000647970383114286;0,000526413704734468;0,00012729664361183;1,59046507422009;0,00032200693584002
"pinay";2,94502756157326;-1,23420761469535;-1,31053015152826;0,853221061172595;-0,357569465378827;-0,379681311365481;0,797802306398371;0,105858972920319;0,0963387206813106;0,00110406763759827;0,000193906959244534;0,000218630620536938;0,00012729664361183;1,98720180670701;0,000502690756640165
"pierre";2,94502756157326;-1,23420761469535;-1,31053015152826;0,853221061172595;-0,357569465378827;-0,379681311365481;0,797802306398371;0,105858972920319;0,0963387206813106;0,00110406763759827;0,000193906959244534;0,000218630620536938;0,00012729664361183;1,98720180670701;0,000502690756640165
